#
!	FE	FI
!!!	FE
!?	FE
.222	MC00N0S
.25	MC00N0S
.25-	MC00N0S
.30	MC00N0S
.30-kula	NCUSN@IS
/	FI	FP
/---/	FE	FI
/.../	FE	FI
/1974:371/	MC00N0S
/1991:806/	MC00N0S
0	MC00N0S
0,01	MC00N0S
0,014	MC00N0S
0,015	MC00N0S
0,02	MC00N0S
0,0240	MC00N0S
0,04	MC00N0S
0,05	MC00N0S
0,1	MC00N0S
0,13	MC00N0S
0,15	MC00N0S
0,2	MC00N0S
0,2-0,3	MC00N0S
0,3	MC00N0S
0,4	MC00N0S
0,4-0,5	MC00N0S
0,4-0,8	MC00N0S
0,5	MC00N0S
0,5-1	MC00N0S
0,5-1,0	MC00N0S
0,6	MC00N0S
0,7	MC00N0S
0,8	MC00N0S
0,85	MC00N0S
0,9	MC00N0S
0,96	MC00N0S
0-0	MC00N0S
0-1	MC00N0S
0-2	MC00N0S
0-3	MC00N0S
0-6	MC00N0S
0-7	MC00N0S
0.1	MC00N0S
0.2	MC00N0S
0.3	MC00N0S
0.6	MC00N0S
0.7	MC00N0S
00	MC00N0S
0000_0000	MC00N0S
01	MC00N0S
01.01	MC00N0S
01.02	MC00N0S
01.03	MC00N0S
01.04	MC00N0S
01.05	MC00N0S
0110_0010	MC00N0S
0110_0101_0001	MC00N0S
01:15	MC00N0S
02.01	MC00N0S
02.02	MC00N0S
02.03	MC00N0S
02.04	MC00N0S
02.05	MC00N0S
02.06	MC00N0S
02.07	MC00N0S
02.09	MC00N0S
02.10	MC00N0S
0220/33250	MC00N0S
0220/332_50	MC00N0S
0223/16050	MC00N0S
04.01	MC00N0S
04.02	MC00N0S
04.03	MC00N0S
04.04	MC00N0S
04.05	MC00N0S
04.06	MC00N0S
04.07	MC00N0S
04.08	MC00N0S
0437/22043	MC00N0S
0437/25163	MC00N0S
06.00	MC00N0S
07.01	MC00N0S
07.09	MC00N0S
07.10	MC00N0S
07.12	MC00N0S
07.13	MC00N0S
07.14	MC00N0S
07.38	MC00N0S
08-7011000	MC00N0S
08-7011012	MC00N0S
08/7468020	MC00N0S
0_0_1_0_1	MC00N0S
0_0_1_0_1_0_1_0_0	MC00N0S
0_1_0_0	MC00N0S
1	MC00N0S	MO00N0S
1,0	MC00N0S
1,000	MC00N0S
1,1	MC00N0S
1,14	MC00N0S
1,2	MC00N0S
1,2-1,3	MC00N0S
1,24	MC00N0S
1,3	MC00N0S
1,4	MC00N0S
1,45	MC00N0S
1,5	MC00N0S
1,5-2	MC00N0S
1,5-2,5	MC00N0S
1,50	MC00N0S
1,6	MC00N0S
1,7	MC00N0S
1,8	MC00N0S
1,87	MC00N0S
1,9	MC00N0S
1-	MC0000C
1-0	MC00N0S
1-0-mål	NCNSN@IS
1-1	MC00N0S
1-1,5	MC00N0S
1-10	MC00N0S
1-11	MC00N0S
1-2	MC00N0S
1-2:or	MC00N0S
1-3	MC00N0S
1-3-1	MC00N0S
1-4	MC00N0S
1-5	MC00N0S
1-6	MC00N0S
1-7	MC00N0S
1-8	MC00N0S
1-protein	NCNSN@IS
1.	MC00N0S
1.0	MC00N0S
1.1	MC00N0S
1.1.1	MC00N0S
1.1.2	MC00N0S
1.1.3	MC00N0S
1.11	MC00N0S
1.14	MC00N0S
1.14,0	MC00N0S
1.17	MC00N0S
1.2	MC00N0S
1.2.1	MC00N0S
1.2.2	MC00N0S
1.2.3	MC00N0S
1.24,5	MC00N0S
1.27,7	MC00N0S
1.3	MC00N0S
1.3.2	MC00N0S
1.3.3.	MC00N0S
1.4	MC00N0S
1.4.	MC00N0S
1.4.1.	MC00N0S
1.4.2.	MC00N0S
1.4.3.	MC00N0S
1.46,76	MC00N0S
1.46,86	MC00N0S
1.47,89	MC00N0S
1.48,06	MC00N0S
1.48,44	MC00N0S
1.49,02	MC00N0S
1.49,05	MC00N0S
1.52,44	MC00N0S
1.55	MC00N0S
1.6	MC00N0S
1.8	MC00N0S
1.8i	NP00N@0S
1/10_1918	MC00N0S
1/1_1983	MC00N0S
1/2	MC00N0S
1/2-1	MC00N0S
1/2_11	MC00N0S
1/2_8	MC00N0S
1/3	MC00N0S
1/4	MC00N0S
1/5	MC00N0S
10	MC00N0S
10,5	MC00N0S
10,82	MC00N0S
10-0	MC00N0S
10-12	MC00N0S
10-13	MC00N0S
10-15	MC00N0S
10-20	MC00N0S
10-20-årsperioden	NCUSN@DS
10-5	MC00N0S
10-50	MC00N0S
10-bästalistan	NCUSN@DS
10-tal	NCNSN@IS
10-talet	NCNSN@DS
10-års	NCNPG@IS
10-årsjubileumsskrift	NCUSN@IS
10-årsperiod	NCUSN@IS
10-årsperioden	NCUSN@DS
10.	MC00N0S
10.01	MC00N0S
10.02	MC00N0S
10.03	MC00N0S
10.04	MC00N0S
10.05	MC00N0S
10.07	MC00N0S
10.08	MC00N0S
10.1	MC00N0S
10.2	MC00N0S
10.3	MC00N0S
10.4	MC00N0S
10.40	MC00N0S
10/38	MC00N0S
100	MC00N0S
100-	MC0000C
100-150	MC00N0S
100-1500	MC00N0S
100-200	MC00N0S
100-250	MC00N0S
100-500	MC00N0S
100-metersfinal	NCUSN@IS
100-miljonersmannen	NCUSN@DS
100-procentiga	AQP0PN0S
100-tal	NCNSN@IS
100-talet	NCNSN@DS
100-talets	NCNSG@DS
100-årsdagen	NCUSN@DS
100-årsjubileet	NCNSN@DS
1000	MC00N0S
1000-1250	MC00N0S
1000-talet	NCNSN@DS
1000-tals	NCNPG@IS
1000-årsfirandet	NCNSN@DS
10000	MC00N0S
10000-tals	NCNPG@IS	RG0S
100000	MC00N0S
100000-tals	RG0S
1000000	MC00N0S
1001_0011	MC00N0S
1001_0011_1	MC00N0S
1004	MC00N0S
1008	MC00N0S
100:e	MO00N0S
100_2.0E	MC00N0S
101/314	MC00N0S
1011_0011	MC00N0S
1013	MC00N0S
1015	MC00N0S
102	MC00N0S
1020	MC00N0S
103	MC00N0S
103-104	MC00N0S
104	MC00N0S
1042500	MC00N0S
105	MC00N0S
1050-1250	MC00N0S
10500	MC00N0S
106	MC00N0S
1066	MC00N0S
107-109	MC00N0S
1075	MC00N0S
1077	MC00N0S
108	MC00N0S
1085	MC00N0S
109	MC00N0S
10:17-18	MC00N0S
10:37-38	MC00N0S
10:e	MO00N0S
10_000	MC00N0S
10_0000_0001	MC00N0S
11	MC00N0S
11,1	MC00N0S
11,35	MC00N0S
11,39	MC00N0S
11,4	MC00N0S
11-12	MC00N0S
11-13	MC00N0S
11-20	MC00N0S
11.	MC00N0S
11.00	MC00N0S
11.01	MC00N0S
11.02	MC00N0S
11.03	MC00N0S
11.04	MC00N0S
11.05	MC00N0S
11.06	MC00N0S
11.07	MC00N0S
11.08	MC00N0S
11.45	MC00N0S
11/12	MC00N0S
11/7	MC00N0S
11/8-90	MC00N0S
110	MC00N0S
110-145	MC00N0S
1100	MC00N0S
1100-	MC0000C
1100-1600	MC00N0S
1100-talet	NCNSN@DS
11000	MC00N0S
1100_0011_1	MC00N0S
111	MC00N0S
1110_1100	MC00N0S
1111/1197	MC00N0S
112	MC00N0S
1121	MC00N0S
11250	MC00N0S
113	MC00N0S
113/136	MC00N0S
1139	MC00N0S
114	MC00N0S
115	MC00N0S
115/60	MC00N0S
115000	MC00N0S
1159	MC00N0S
116	MC00N0S
116-48	MC00N0S
1160-talet	NCNSN@DS
1161	MC00N0S
117	MC00N0S
117-118	MC00N0S
1170	MC00N0S
118	MC00N0S
1185	MC00N0S
11881	MC00N0S
11900	MC00N0S
1194	MC00N0S
11:14	MC00N0S
11:4-5	MC00N0S
11:51-52	MC00N0S
11:6	MC00N0S
11:8	MC00N0S
11:e	MO00N0S
12	MC00N0S
12,2	MC00N0S
12,3	MC00N0S
12,4	MC00N0S
12,64	MC00N0S
12,7	MC00N0S
12-13	MC00N0S
12-14	MC00N0S
12-15	MC00N0S
12-16	MC00N0S
12-20	MC00N0S
12-åring	NCUSN@IS
12.	MC00N0S
12.00	MC00N0S
12.01	MC00N0S
12.02	MC00N0S
12.03	MC00N0S
12.05	MC00N0S
12.06	MC00N0S
12.07	MC00N0S
12.08	MC00N0S
12.12	MC00N0S
12.14	MC00N0S
12.3	MC00N0S
12.30	MC00N0S
12.49	MC00N0S
12/1	MC00N0S
12/12_1899	MC00N0S
12/13	MC00N0S
12/3	MC00N0S
120	MC00N0S
120-122	MC00N0S
120-130	MC00N0S
120-200	MC00N0S
1200	MC00N0S
1200-talen	NCNPN@DS
1200-talet	NCNSN@DS
1200-talsstäderna	NCUPN@DS
12000	MC00N0S
120000	MC00N0S
121	MC00N0S
122	MC00N0S
123	MC00N0S
1230	MC00N0S
1231	MC00N0S
1239	MC00N0S
123f	MC00N0S
124	MC00N0S
124/127	MC00N0S
1244	MC00N0S
125	MC00N0S
125-128	MC00N0S
125-förarnas	NCUPG@DS
12500	MC00N0S
125000	MC00N0S
1254	MC00N0S
1256	MC00N0S
1257	MC00N0S
1259	MC00N0S
126	MC00N0S
126/193	MC00N0S
1260	MC00N0S
1260-talet	NCNSN@DS
1261	MC00N0S
1264	MC00N0S
1267	MC00N0S
1269	MC00N0S
126f	MC00N0S
127	MC00N0S
1275	MC00N0S
1279	MC00N0S
128	MC00N0S
1283	MC00N0S
129	MC00N0S
1291	MC00N0S
12916	MC00N0S
1296	MC00N0S
12:16	MC00N0S
12:23	MC00N0S
12:24	MC00N0S
12:3	MC00N0S
12:32	MC00N0S
12:32-33	MC00N0S
12V	NP00N@0S
12f	MC00N0S
13	MC00N0S
13,0	MC00N0S
13,2	MC00N0S
13,6	MC00N0S
13,76	MC00N0S
13,8	MC00N0S
13-14	MC00N0S
13-16	MC00N0S
13-20	MC00N0S
13-21	MC00N0S
13-tiden	NCUSN@DS
13-åriga	AQP0SNDS
13-årige	AQPMSNDS
13-åring	NCUSN@IS
13-årsperiod	NCUSN@IS
13-årspojkarna	NCUPN@DS
13.	MC00N0S
13.00	MC00N0S
13.20	MC00N0S
13/12	MC00N0S
130	MC00N0S
130,65	MC00N0S
130,82	MC00N0S
130-140	MC00N0S
1300	MC00N0S
1300-1780	MC00N0S
1300-talet	NCNSN@DS
1300-talets	NCNSG@DS
13000	MC00N0S
130000	MC00N0S
1311	MC00N0S
1314	MC00N0S
132	MC00N0S
1327	MC00N0S
1329	MC00N0S
133	MC00N0S
1330	MC00N0S
13303	MC00N0S
1331	MC00N0S
1343	MC00N0S
1346	MC00N0S
135	MC00N0S
1350	MC00N0S
135000	MC00N0S
136	MC00N0S
1360	MC00N0S
1361	MC00N0S
1366	MC00N0S
137	MC00N0S
1370-85	MC00N0S
138	MC00N0S
1381	MC00N0S
1387	MC00N0S
139	MC00N0S
1397	MC00N0S
1398-1408	MC00N0S
139f	MC00N0S
13:e	MO00N0S
14	MC00N0S
14,0	MC00N0S
14,5	MC00N0S
14,64	MC00N0S
14,9	MC00N0S
14,91	MC00N0S
14-15	MC00N0S
14-16	MC00N0S
14-18	MC00N0S
14-24	MC00N0S
14-årige	AQPMSNDS
14-åring	NCUSN@IS
14-årspojkar	NCUPN@IS
14-årspojkarna	NCUPN@DS
14-årsåldern	NCUSN@DS
14.	MC00N0S
14.30	MC00N0S
14.45	MC00N0S
14/108	MC00N0S
14/11_1901	MC00N0S
14/9	MC00N0S
140	MC00N0S
140,75	MC00N0S
1400	MC00N0S
1400-1500	MC00N0S
1400-talet	NCNSN@DS
1400-talets	NCNSG@DS
140000	MC00N0S
1402	MC00N0S
1404	MC00N0S
1408	MC00N0S
140:3	MC00N0S
1413	MC00N0S
1415	MC00N0S
1419/89	MC00N0S
141_86	MC00N0S
143	MC00N0S
1430	MC00N0S
1442	MC00N0S
144f	MC00N0S
145	MC00N0S
1450	MC00N0S
1450-talet	NCNSN@DS
1452	MC00N0S
1453	MC00N0S
1459	MC00N0S
1462	MC00N0S
147-151	MC00N0S
1470	MC00N0S
1471	MC00N0S
1482	MC00N0S
1486	MC00N0S
1490	MC00N0S
1492	MC00N0S
1494	MC00N0S
1497	MC00N0S
149:e	MO00N0S
14:17-20	MC00N0S
14:e	MO00N0S
14f	MC00N0S
15	MC00N0S
15,5	MC00N0S
15,9	MC00N0S
15-	MC0000C
15-16	MC00N0S
15-18	MC00N0S
15-20	MC00N0S
15-40	MC00N0S
15-procentig	AQPUSNIS
15-tums	NCUPG@IS
15-årig	AQPUSNIS
15-åring	NCUSN@IS
15-åringar	NCUPN@IS
15-årsdag	NCUSN@IS
15-årsjubileet	NCNSN@DS
15-årspojkar	NCUPN@IS
15-årsåldern	NCUSN@DS
15.00	MC00N0S
15.01	MC00N0S
15.02	MC00N0S
15.03	MC00N0S
15.04	MC00N0S
15.06	MC00N0S
15.07	MC00N0S
15.08	MC00N0S
15.09	MC00N0S
15.10	MC00N0S
15.11	MC00N0S
15.12	MC00N0S
15.13	MC00N0S
15.14	MC00N0S
15.15	MC00N0S
15.16	MC00N0S
15.17	MC00N0S
15.18	MC00N0S
15.19	MC00N0S
15.3	MC00N0S
15.45	MC00N0S
15/11_1740	MC00N0S
15/15	MC00N0S
150	MC00N0S
150-160	MC00N0S
150-175	MC00N0S
150-220	MC00N0S
150-årsbankett	NCUSN@IS
1500	MC00N0S
1500-	MC0000C
1500-2000	MC00N0S
1500-talet	NCNSN@DS
1500-talets	NCNSG@DS
1500-talsfort	NCNSN@IS
15000	MC00N0S
15000-20000	MC00N0S
150000	MC00N0S
1505	MC00N0S
150:e	MO00N0S
151	MC00N0S
1519	MC00N0S
152	MC00N0S
1525	MC00N0S
1526	MC00N0S
1527	MC00N0S
1533	MC00N0S
1535	MC00N0S
1539	MC00N0S
1540	MC00N0S
1540-talet	NCNSN@DS
1543	MC00N0S
1545	MC00N0S
155	MC00N0S
1554	MC00N0S
1555	MC00N0S
1556	MC00N0S
1559	MC00N0S
156-157	MC00N0S
1560-talet	NCNSN@DS
157	MC00N0S
1571	MC00N0S
1574	MC00N0S
1575	MC00N0S
1577-1649	MC00N0S
1578	MC00N0S
1579	MC00N0S
158	MC00N0S
1580-talet	NCNSN@DS
1588	MC00N0S
1589	MC00N0S
159	MC00N0S
15:13	MC00N0S
15:2	MC00N0S
15:3	MC00N0S
15:e	MO00N0S
16	MC00N0S
16,1	MC00N0S
16,3	MC00N0S
16,5	MC00N0S
16-	MC0000C
16-17	MC00N0S
16-18	MC00N0S
16-21	MC00N0S
16-25-åringar	NCUPN@IS
16-åriga	AQP0SNDS
16-åring	NCUSN@IS
16-åringen	NCUSN@DS
16.01	MC00N0S
16.02	MC00N0S
16.05	MC00N0S
16.15	MC00N0S
16.45	MC00N0S
16/-78	MC00N0S
16/1197	MC00N0S
16/2_1901	MC00N0S
160	MC00N0S
1600	MC00N0S
1600-	MC0000C
1600-1700	MC00N0S
1600-1700-talen	NCNPN@DS
1600-tal	NCNSN@IS
1600-talen	NCNPN@DS
1600-talet	NCNSN@DS
1600-talets	NCNSG@DS
1600-talsslottet	NCNSN@DS
16000	MC00N0S
160000	MC00N0S
1611-1611	MC00N0S
1613	MC00N0S
1618	MC00N0S
1619	MC00N0S
162	MC00N0S
1620	MC00N0S
1622	MC00N0S
1630	MC00N0S
1630-talet	NCNSN@DS
1632	MC00N0S
1636	MC00N0S
1637	MC00N0S
1637-1722	MC00N0S
1638	MC00N0S
1639	MC00N0S
164	MC00N0S
1642	MC00N0S
1643	MC00N0S
1645	MC00N0S
1648	MC00N0S
1648-1699	MC00N0S
164_3.0	MC00N0S
165	MC00N0S
165000	MC00N0S
1651	MC00N0S
1654	MC00N0S
166	MC00N0S
1660	MC00N0S
1660,3	MC00N0S
1660-talet	NCNSN@DS
1669	MC00N0S
1669-1673	MC00N0S
167	MC00N0S
1670	MC00N0S
1673	MC00N0S
1673-års	NCNSG@IS
1675	MC00N0S
1680	MC00N0S
1680-talet	NCNSN@DS
1685	MC00N0S
1688	MC00N0S
1689	MC00N0S
169	MC00N0S
1690-1975	MC00N0S
1691	MC00N0S
1695	MC00N0S
1698-1782	MC00N0S
16:e	MO00N0S
16V	NP00N@0S
17	MC00N0S
17,5	MC00N0S
17-18	MC00N0S
17-19	MC00N0S
17-21	MC00N0S
17-årige	AQPMSNDS
17-åringar	NCUPN@IS
17.01	MC00N0S
17.02	MC00N0S
17.03	MC00N0S
17.04	MC00N0S
17.30	MC00N0S
17/17	MC00N0S
170	MC00N0S
1700	MC00N0S
1700-	MC0000C
1700-tal	NCNSN@IS
1700-talen	NCNPN@DS
1700-talet	NCNSN@DS
1700-talets	NCNSG@DS
1700-talsanda	NCUSN@IS
1700-talsmodell	NCUSN@IS
1700-talsopera	NCUSN@IS
1700-talsrum	NCNSN@IS
1700-talssalong	NCUSN@IS
17000	MC00N0S
170000	MC00N0S
1702	MC00N0S
1706	MC00N0S
1707-1710	MC00N0S
17089	MC00N0S
171/238	MC00N0S
1714-1721	MC00N0S
1714-1762	MC00N0S
1719	MC00N0S
172	MC00N0S
1720	MC00N0S
1722	MC00N0S
1723-års	NCNSG@IS
1732	MC00N0S
1737	MC00N0S
1739	MC00N0S
1740	MC00N0S
1740-talet	NCNSN@DS
1742	MC00N0S
1744	MC00N0S
1744-1803	MC00N0S
1746	MC00N0S
1746-1760	MC00N0S
1746/47-års	NCNSG@IS
1747	MC00N0S
1748	MC00N0S
1749	MC00N0S
1749-års	NCNSG@IS
175	MC00N0S
1750	MC00N0S
1750-1801	MC00N0S
1750-1850	MC00N0S
1751	MC00N0S
1751-1753	MC00N0S
1752	MC00N0S
1752-1790	MC00N0S
1754	MC00N0S
1757	MC00N0S
1758	MC00N0S
175_000	MC00N0S
1760-talet	NCNSN@DS
17600	MC00N0S
1762	MC00N0S
1764	MC00N0S
1764-72	MC00N0S
1765	MC00N0S
1766-1803	MC00N0S
1767	MC00N0S
176700	MC00N0S
1771	MC00N0S
1772	MC00N0S
1775	MC00N0S
1777	MC00N0S
1778	MC00N0S
178	MC00N0S
178-199	MC00N0S
1780-1880	MC00N0S
1780-talet	NCNSN@DS
1783	MC00N0S
1785	MC00N0S
1787	MC00N0S
1788	MC00N0S
1789	MC00N0S
179	MC00N0S
179-180	MC00N0S
1790	MC00N0S
1791	MC00N0S
1794	MC00N0S
1795	MC00N0S
1798	MC00N0S
17:1	MC00N0S
17:21	MC00N0S
17:4	MC00N0S
17:e	MO00N0S
18	MC00N0S
18,1	MC00N0S
18,2	MC00N0S
18,4	MC00N0S
18-	MC0000C
18-19	MC00N0S
18-19d	MC00N0S
18-20	MC00N0S
18-21	MC00N0S
18-39	MC00N0S
18-gradiga	AQP0SNDS
18-sändning	NCUSN@IS
18-sändningen	NCUSN@DS
18-tiden	NCUSN@DS
18-årig	AQPUSNIS
18-årige	AQPMSNDS
18.000	MC00N0S
18.06	MC00N0S
18.30	MC00N0S
18/12_1899	MC00N0S
180	MC00N0S
180-181	MC00N0S
1800	MC00N0S
1800-	MC0000C
1800-1801	MC00N0S
1800-tal	NCNSN@IS
1800-talen	NCNPN@DS
1800-talet	NCNSN@DS
1800-talets	NCNSG@DS
1800-talsestetiken	NCUSN@DS
1800-talshus	NCNSN@IS
1800-talslandskapet	NCNSN@DS
1800-talsnationalismen	NCUSN@DS
1800-talspositivism	NCUSN@IS
18000	MC00N0S
1804	MC00N0S
1808	MC00N0S
1809	MC00N0S
181	MC00N0S
18108	MC00N0S
1812	MC00N0S
1813	MC00N0S
1814	MC00N0S
1815	MC00N0S
1816-65	MC00N0S
1817-1903	MC00N0S
1820	MC00N0S
1820-talet	NCNSN@DS
1823	MC00N0S
1823-1905	MC00N0S
1825	MC00N0S
1827	MC00N0S
183	MC00N0S
1830	MC00N0S
1830-talet	NCNSN@DS
18300	MC00N0S
1831	MC00N0S
1832-1907	MC00N0S
1834	MC00N0S
1835	MC00N0S
1837	MC00N0S
184	MC00N0S
1840	MC00N0S
1840-talet	NCNSN@DS
1841-55	MC00N0S
1842	MC00N0S
1843	MC00N0S
1845	MC00N0S
1846	MC00N0S
1848	MC00N0S
1848-1851	MC00N0S
185	MC00N0S
1850	MC00N0S
1850-	MC0000C
1850-talet	NCNSN@DS
1851	MC00N0S
1851-1866	MC00N0S
1852	MC00N0S
1852-55	MC00N0S
1853	MC00N0S
1856-60	MC00N0S
1857,1	MC00N0S
1859	MC00N0S
1860	MC00N0S
1860-1880-talen	NCNPN@DS
1860-talen	NCNPN@DS
1860-talet	NCNSN@DS
1861	MC00N0S
1862	MC00N0S
1863	MC00N0S
1864	MC00N0S
1865	MC00N0S
1866	MC00N0S
1867	MC00N0S
1868	MC00N0S
1870	MC00N0S
1870-	MC0000C
1870-1910	MC00N0S
1870-1970	MC00N0S
1870-talet	NCNSN@DS
1871	MC00N0S
1872	MC00N0S
1872-1900	MC00N0S
1873	MC00N0S
1873-95	MC00N0S
1874	MC00N0S
1876	MC00N0S
1876-92	MC00N0S
1878	MC00N0S
1879	MC00N0S
1879-93	MC00N0S
188	MC00N0S
1880	MC00N0S
1880-	MC0000C
1880-1920	MC00N0S
1880-talen	NCNPN@DS
1880-talet	NCNSN@DS
1881	MC00N0S
1881-1884	MC00N0S
1882	MC00N0S
1882-1883	MC00N0S
1883	MC00N0S
1884	MC00N0S
1884-1940	MC00N0S
1885	MC00N0S
1886	MC00N0S
1887	MC00N0S
1887-1912	MC00N0S
1887-1943	MC00N0S
1888	MC00N0S
1889	MC00N0S
1889-1894	MC00N0S
189	MC00N0S
1890	MC00N0S
1890-1893	MC00N0S
1890-1912	MC00N0S
1890-1920	MC00N0S
1890-1930	MC00N0S
1890-talet	NCNSN@DS
1890-talsbebyggelse	NCUSN@IS
1891	MC00N0S
1892	MC00N0S
1892-1894	MC00N0S
1893	MC00N0S
1894	MC00N0S
1895	MC00N0S
1895-1896	MC00N0S
1896	MC00N0S
1897	MC00N0S
1898	MC00N0S
1898-1967	MC00N0S
1899	MC00N0S
18:11	MC00N0S
18:X	MC00N0S
19	MC00N0S
19,6	MC00N0S
19-20	MC00N0S
19-24	MC00N0S
19-25	MC00N0S
19-årig	AQPUSNIS
19-årige	AQPMSNDS
19-åring	NCUSN@IS
19.	MC00N0S
19.00	MC00N0S
19.01	MC00N0S
19.02	MC00N0S
19.03	MC00N0S
19.04	MC00N0S
19.05	MC00N0S
19.25	MC00N0S
19.33	MC00N0S
19/136	MC00N0S
19/19	MC00N0S
19/394	MC00N0S
190	MC00N0S
1900	MC00N0S
1900-1901	MC00N0S
1900-1970	MC00N0S
1900-tal	NCNSN@IS
1900-talet	NCNSN@DS
1900-talets	NCNSG@DS
1900-talskonst	NCUSN@IS
1900-talslyrik	NCUSN@IS
1901	MC00N0S
1901-1903	MC00N0S
1901-1951	MC00N0S
1902	MC00N0S
1903	MC00N0S
1904	MC00N0S
1904-1920	MC00N0S
1904:48	MC00N0S
1905	MC00N0S
1905-1910	MC00N0S
1906	MC00N0S
1906-1918	MC00N0S
1907	MC00N0S
1908	MC00N0S
1908-09	MC00N0S
1909	MC00N0S
191	MC00N0S
1910	MC00N0S
1910-	MC0000C
1910-12	MC00N0S
1910-talet	NCNSN@DS
1910-talets	NCNSG@DS
1911	MC00N0S
1911a	MC00N0S
1911b	MC00N0S
1912	MC00N0S
1912-82	MC00N0S
1913	MC00N0S
1914	MC00N0S
1915	MC00N0S
1916	MC00N0S
1917	MC00N0S
1917-1923	MC00N0S
1918	MC00N0S
1918-19	MC00N0S
1919	MC00N0S
1919-1923	MC00N0S
1919-1924	MC00N0S
192	MC00N0S
1920	MC00N0S
1920-	MC0000C
1920-1930-talet	NCNSN@DS
1920-talet	NCNSN@DS
1920-talets	NCNSG@DS
1921	MC00N0S
1922	MC00N0S
1923	MC00N0S
1924	MC00N0S
1924-26	MC00N0S
1925	MC00N0S
1926	MC00N0S
1927	MC00N0S
1928	MC00N0S
1928-1966	MC00N0S
1928-31	MC00N0S
1928:370	MC00N0S
1929	MC00N0S
192f	MC00N0S
193	MC00N0S
1930	MC00N0S
1930-	MC0000C
